From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
1506;5746;sea;1887;-1;-1;-1;-1;;Old Country to Yakama Nation
1945;8571;sea;1888;-1;-1;-1;-1;;Old Country to Yakama Nation
4265;4468;sea;1892;-1;-1;-1;-1;;Pharohs to Shoshone Nation
78;6294;sea;6293;-1;-1;-1;-1;;New Canaan to New Canaan
7473;7484;sea;3073;-1;-1;-1;-1;;Dead Horses to Dead Horses
6736;6691;sea;3083;-1;-1;-1;-1;;Old Bones to Foragers
6821;6653;sea;3082;-1;-1;-1;-1;;Yampa to Foragers
2205;6515;sea;3077;-1;-1;-1;-1;;Yampa to Canyon
6776;1571;sea;5966;-1;-1;-1;-1;;Legion to Hangdogs
5284;1789;sea;5965;-1;-1;-1;-1;;Legion to Hangdogs
3225;8846;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
3225;8848;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
3225;8851;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
8850;8851;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
8850;8852;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
8853;8852;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
8853;8857;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
8856;8857;impassable;-1;-1;-1;-1;-1;;Vegas to Sky Reavers
3232;8857;impassable;-1;-1;-1;-1;-1;;Great Khans to Sky Reavers
3232;8858;impassable;-1;-1;-1;-1;-1;;Great Khans to Sky Reavers
6402;6522;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6402;6521;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6402;3067;impassable;-1;-1;-1;-1;-1;;Clitton to River
6403;3067;impassable;-1;-1;-1;-1;-1;;Clitton to River
6403;3068;impassable;-1;-1;-1;-1;-1;;Clitton to River
6401;3068;impassable;-1;-1;-1;-1;-1;;Clitton to River
6401;6521;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6401;6518;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6404;3069;impassable;-1;-1;-1;-1;-1;;Clitton to River
6404;3068;impassable;-1;-1;-1;-1;-1;;Clitton to River
6404;6518;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6404;6520;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6405;3069;impassable;-1;-1;-1;-1;-1;;Clitton to River
6405;6349;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6405;6520;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6405;1608;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6408;3069;impassable;-1;-1;-1;-1;-1;;Clitton to River
6408;6349;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6408;6348;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6406;3069;impassable;-1;-1;-1;-1;-1;;Clitton to River
6406;3070;impassable;-1;-1;-1;-1;-1;;Clitton to River
6406;6348;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6407;3070;impassable;-1;-1;-1;-1;-1;;Clitton to River
6407;6348;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
6407;6350;impassable;-1;-1;-1;-1;-1;;Clitton to High Chapel
3230;3267;impassable;-1;-1;-1;-1;-1;;Long15
3230;3265;impassable;-1;-1;-1;-1;-1;;Long15
3230;3222;impassable;-1;-1;-1;-1;-1;;Long15
3229;3266;impassable;-1;-1;-1;-1;-1;;Long15
3229;3268;impassable;-1;-1;-1;-1;-1;;Long15
3229;5762;impassable;-1;-1;-1;-1;-1;;Long15
3229;3238;impassable;-1;-1;-1;-1;-1;;Long15
3229;5761;impassable;-1;-1;-1;-1;-1;;Long15
3229;3062;impassable;-1;-1;-1;-1;-1;;Long15 to River
3229;3061;impassable;-1;-1;-1;-1;-1;;Long15 to River
3230;2396;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions
3230;2071;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions
3230;2314;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions
3230;1607;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions
3229;5936;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions
3229;5925;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions
3229;5767;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions
3230;3203;impassable;-1;-1;-1;-1;-1;;Long15 to Scorpions Divide
3229;5811;impassable;-1;-1;-1;-1;-1;;Long15 to The Rapids
3229;5768;impassable;-1;-1;-1;-1;-1;;Long15 to The Rapids
3229;5806;impassable;-1;-1;-1;-1;-1;;Long15 to The Rapids
3229;5937;impassable;-1;-1;-1;-1;-1;;Long15 to The Rapids
3229;8368;impassable;-1;-1;-1;-1;-1;;Long15 to The Rapids
3203;2396;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
3203;2385;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
3203;2386;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
3203;2367;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
3203;2368;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
3203;2377;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
3203;2371;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
3203;3222;impassable;-1;-1;-1;-1;-1;;Scorpions Divide to Vegas
3203;5759;impassable;-1;-1;-1;-1;-1;;Scorpions Divide to Vegas
3203;3223;impassable;-1;-1;-1;-1;-1;;Scorpions Divide to Vegas
3203;3236;impassable;-1;-1;-1;-1;-1;;Scorpions Divide to Vegas
6592;2373;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
6592;2371;impassable;-1;-1;-1;-1;-1;;Scorpions Divide
6592;2379;impassable;-1;-1;-1;-1;-1;;Scorpions Divide to NCR
6592;5076;impassable;-1;-1;-1;-1;-1;;Scorpions Divide to NCR
6592;2378;impassable;-1;-1;-1;-1;-1;;Scorpions Divide to NCR
6593;2378;impassable;-1;-1;-1;-1;-1;;Ashton Divide to NCR
6593;3278;impassable;-1;-1;-1;-1;-1;;Ashton Divide to NCR
6594;3278;impassable;-1;-1;-1;-1;-1;;Ashton Divide to NCR
6594;3279;impassable;-1;-1;-1;-1;-1;;Ashton Divide to NCR
6594;8876;impassable;-1;-1;-1;-1;-1;;Ashton Divide to Sky Reavers
6594;8847;impassable;-1;-1;-1;-1;-1;;Ashton Divide to Sky Reavers
6594;8846;impassable;-1;-1;-1;-1;-1;;Ashton Divide to Sky Reavers
6594;3225;impassable;-1;-1;-1;-1;-1;;Ashton Divide to Sky Reavers
6594;3260;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6594;3256;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6594;3264;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6594;3231;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6593;3258;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6593;3259;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6593;3254;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6593;3264;impassable;-1;-1;-1;-1;-1;;Ashton Divide
6593;6592;impassable;-1;-1;-1;-1;-1;;Ashton Divide to Scorpions Divide
6593;6591;impassable;-1;-1;-1;-1;-1;;Ashton Divide to Hopeville Divide
6594;6590;impassable;-1;-1;-1;-1;-1;;Ashton Divide to Hopeville Divide
6590;3225;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6590;3224;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6590;3241;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6590;3240;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6590;5765;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6590;3239;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6591;3236;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6591;3239;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Vegas
6591;3261;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3252;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3254;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3255;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3250;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3262;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3263;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3231;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3257;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;3258;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6590;3263;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6590;3262;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6590;3251;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6590;3253;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6590;3261;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6590;3256;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6590;3231;impassable;-1;-1;-1;-1;-1;;Hopeville Divide
6591;6592;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Scorpions
6591;3203;impassable;-1;-1;-1;-1;-1;;Hopeville Divide to Scorpions
-1;-1;;-1;-1;-1;-1;-1;-1
